;z		T		P		rho		c_snd
0	288.15	1.01325	1.0000	340.3
500	284.9	0.9546	0.9529	338.4
1000	281.7	0.8988	0.9075	336.4
1500	278.4	0.8456	0.8638	334.5
2000	275.2	0.7950	0.8217	332.5
2500	271.9	0.7469	0.7812	330.6
3000	268.7	0.7012	0.7423	328.6
3500	265.4	0.6578	0.7048	326.6
4000	262.2	0.6166	0.6689	324.6
4500	258.9	0.5775	0.6343	322.6
5000	255.7	0.5405	0.6012	320.5
5500	252.4	0.5054	0.5694	318.5
6000	249.2	0.4722	0.5389	316.5
6500	245.9	0.4408	0.5096	314.4
7000	242.7	0.4111	0.4817	312.3
7500	239.5	0.3830	0.4549	310.2
8000	236.2	0.3565	0.4292	308.1
8500	233.0	0.3315	0.4047	306.0
9000	229.7	0.3080	0.3813	303.8
9500	226.5	0.2858	0.3589	301.7
10000	223.3	0.2650	0.3376	299.8
